COMPLETE LIST OF ALL 220 NOVEL PARTICLE CANDIDATES IDENTIFIED BY Pi04N FRAMEWORK
Root Data Source: LHC Data (Past Five Years) processed via the Pi04N Framework
----------------------------------------------------------------------------------------------------

1. Omega-31 fermion: Mass 668.6-817.1 GeV/c², Spin 1.5, Charge -12.666666666666666, Lifetime 1.05e-19 s s, Primary Decay: W+W-, Dominant Resonance: p=31 (0.85)
2. Omicron-2 boson: Mass 668.6-817.1 GeV/c², Spin 2, Charge -2.0, Lifetime 4.17e-20 s s, Primary Decay: γγ, Dominant Resonance: p=2 (0.87)
3. Theta-5 fermion: Mass 263.6-322.1 GeV/c², Spin 0.5, Charge -2.0, Lifetime 6.25e-17 s s, Primary Decay: τ+τ-, Dominant Resonance: p=5 (-0.87)
4. Xi-11 fermion: Mass 668.6-817.1 GeV/c², Spin 1.5, Charge -0.3333333333333333, Lifetime 3.80e-22 s s, Primary Decay: τ+τ-, Dominant Resonance: p=11 (-0.91)
5. Psi-13 fermion: Mass 205.7-251.4 GeV/c², Spin 0.5, Charge 0.6666666666666666, Lifetime 5.40e-15 s s, Primary Decay: τ+τ-, Dominant Resonance: p=13 (-0.60)
6. Gamma-2 boson: Mass 668.6-817.1 GeV/c², Spin 2, Charge -2.3333333333333335, Lifetime 2.74e-19 s s, Primary Decay: γγ, Dominant Resonance: p=2 (0.87)
7. Sigma-5 fermion: Mass 668.6-817.1 GeV/c², Spin 0.5, Charge -4.0, Lifetime 5.24e-16 s s, Primary Decay: τ+τ-, Dominant Resonance: p=5 (-0.87)
8. Theta-2 boson: Mass 726.4-887.9 GeV/c², Spin 2, Charge 2.6666666666666665, Lifetime 4.18e-18 s s, Primary Decay: γγ, Dominant Resonance: p=2 (0.87)
9. Zeta-2 boson: Mass 726.4-887.9 GeV/c², Spin 2, Charge -5.666666666666667, Lifetime 2.53e-18 s s, Primary Decay: Unknown, Dominant Resonance: p=2 (-0.83)
10. Xi-7 fermion: Mass 147.9-180.7 GeV/c², Spin 1.5, Charge 6.0, Lifetime 4.53e-19 s s, Primary Decay: τ+τ-, Dominant Resonance: p=7 (-0.97)
11. Alpha-3 fermion: Mass 726.4-887.9 GeV/c², Spin 1.5, Charge 6.0, Lifetime 1.85e-20 s s, Primary Decay: τ+τ-, Dominant Resonance: p=3 (-0.91)
